"data_file","outer_epoch","inner_epoch","net__depth","net__width","net__activation","net__dropout","net__lr_rate","net__weight_decay","total_epochs","best_epoch","tuned_activation","tuned_dropout","tuned_lr_rate","tuned_weight_decay","classif.acc","classif.precision","classif.recall","classif.f1","classif.tn","classif.fp","classif.fn","classif.tp","guardian.rho_noco2","guardian.rlogit_noco2","guardian.rprob_noco2","guardian.rho_comp","guardian.rlogit_comp","guardian.rprob_comp","guardian.rho_pf","guardian.rlogit_pf","guardian.rprob_pf","id","model","depth","parameters","data_name","model_name","model_category","abbrev_name","abbrev_name_w_depth","name","input_features"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,2,32,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",121,80,"relu",0.1,1e-04,1e-04,0.964634389320582,0.949214258336527,0.982153480071386,0.965402982165481,4730,265,90,4953,0.208569981331135,0.190937087694477,0.203155391948908,-0.223025326571907,-0.168116409427713,-0.162740947660029,-0.283797729618163,-0.184014544541072,-0.187557892610446,1,"torch",2,24608,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @2","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,32,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",741,700,"relu",0.2,1e-04,1e-04,0.910866910866911,0.925995024875622,0.895908543922984,0.910703363914373,4485,357,519,4467,0.0526587576628113,0.0659089715425932,0.0281075786899743,-0.325245267917364,-0.311199564963038,-0.272221212375303,-0.184726522187823,-0.192696565261552,-0.153359873731333,2,"torch",3,25632,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,2,160,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",351,310,"relu",0.1,1e-05,1e-04,0.969515839808727,0.962868868477624,0.976997818758675,0.96988188976378,4805,190,116,4927,0.369643828299735,0.285726700208352,0.281015088233367,-0.321115169277144,-0.232972009597343,-0.222748968080833,-0.42827657378741,-0.265874524344562,-0.258234234647014,3,"torch",2,123040,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @2","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,1,NA,NA,NA,"[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",701,660,NA,NA,0.001,1e-04,0.84961334961335,0.830320150659134,0.884275972723626,0.856449106449106,3941,901,577,4409,0.523490002647948,0.389263603624385,0.417424459104951,-0.573051186330594,-0.395395748427548,-0.438140849492673,-0.568627450980392,-0.40201830548188,-0.43831578146087,4,"torch",1,768,"Engineered","DL","Non-linear","Val. DL","Val. DL @1","SB23 \& FNN","26"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,160,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",811,770,"relu",0.4,1e-04,1e-04,0.917989417989418,0.918837675350701,0.919574809466506,0.919206094627105,4437,405,401,4585,0.482189016245743,0.54546975664907,0.563580013599748,-0.570986137010484,-0.608759413830102,-0.62867009520598,-0.578947368421053,-0.591251381316398,-0.610728127477809,5,"torch",3,148640,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,2,112,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",371,330,"relu",0,1e-05,1e-04,0.96931659693166,0.963579400822401,0.975808050763434,0.969655172413793,4809,186,122,4921,0.346928285778522,0.239111455583745,0.244355591818352,-0.321115169277144,-0.203593035758125,-0.203404573801689,-0.403508771929825,-0.22690124939928,-0.229503119556893,6,"torch",2,86128,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @2","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,144,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",621,580,"relu",0.4,1e-04,1e-04,0.916768416768417,0.915636218587954,0.920778178900923,0.9182,4419,423,395,4591,0.57821380963087,0.599920149359434,0.599295770173463,-0.629840042633626,-0.653240730068676,-0.657781162110447,-0.659442724458204,-0.641961588210054,-0.643957077347275,7,"torch",3,131472,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,3,144,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",161,120,"relu",0,1e-05,1e-04,0.967025303845388,0.955353691534596,0.980170533412651,0.967603014583537,4764,231,100,4943,0.392359370820947,0.349374747391416,0.331717927530924,-0.287041855495325,-0.25885636494631,-0.241458087224714,-0.420020639834881,-0.31182782333229,-0.293866300004971,8,"torch",3,131472,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @3","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,64,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",671,630,"relu",0.3,1e-04,1e-04,0.915649165649166,0.930955836616214,0.900521460088247,0.915485778366806,4509,333,496,4490,0.471863769645192,0.561740209098801,0.577679499089664,-0.541042921868885,-0.605683476822757,-0.621846500926954,-0.564499484004128,-0.598052816602985,-0.614500416527359,9,"torch",3,53312,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,2,96,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",401,360,"relu",0,1e-05,1e-04,0.96961546124726,0.964145768025078,0.975808050763434,0.96994185473539,4812,183,122,4921,0.339700613158136,0.239399602359469,0.234379634081113,-0.316985070636923,-0.219069022460522,-0.2101270409598,-0.409700722394221,-0.234946008703904,-0.227800725939643,10,"torch",2,73824,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @2","BERT \& FNN","768"
